x,y
2.350000000000000000e+02,2.551599999999999966e+02
2.530399999999999920e+02,1.830000000000000000e+02
2.694399999999999977e+02,1.870999999999999943e+02
2.760000000000000000e+02,2.018600000000000136e+02
2.530399999999999920e+02,2.190799999999999841e+02
2.702599999999999909e+02,2.190799999999999841e+02
2.760000000000000000e+02,2.363000000000000114e+02
2.694399999999999977e+02,2.526999999999999886e+02
2.530399999999999920e+02,2.551599999999999966e+02
4.650000000000000000e+02,1.830000000000000000e+02
4.650000000000000000e+02,2.010399999999999920e+02
4.650000000000000000e+02,2.190799999999999841e+02
4.650000000000000000e+02,2.371200000000000045e+02
4.650000000000000000e+02,2.551599999999999966e+02
4.830400000000000205e+02,1.830000000000000000e+02
4.994399999999999977e+02,1.870999999999999943e+02
5.060000000000000000e+02,2.018600000000000136e+02
4.830400000000000205e+02,2.190799999999999841e+02
5.002599999999999909e+02,2.190799999999999841e+02
5.060000000000000000e+02,2.363000000000000114e+02
4.994399999999999977e+02,2.526999999999999886e+02
4.830400000000000205e+02,2.551599999999999966e+02
1.820000000000000000e+02,2.630000000000000000e+02
1.820000000000000000e+02,2.810400000000000205e+02
1.820000000000000000e+02,2.990799999999999841e+02
1.820000000000000000e+02,3.171200000000000045e+02
1.820000000000000000e+02,3.351599999999999682e+02
2.000399999999999920e+02,2.630000000000000000e+02
2.164399999999999977e+02,2.671000000000000227e+02
2.230000000000000000e+02,2.818600000000000136e+02
2.000399999999999920e+02,2.990799999999999841e+02
2.172599999999999909e+02,2.990799999999999841e+02
2.230000000000000000e+02,3.163000000000000114e+02
2.164399999999999977e+02,3.326999999999999886e+02
2.000399999999999920e+02,3.351599999999999682e+02
5.180000000000000000e+02,2.630000000000000000e+02
5.180000000000000000e+02,2.810400000000000205e+02
5.180000000000000000e+02,2.990799999999999841e+02
5.180000000000000000e+02,3.171200000000000045e+02
5.180000000000000000e+02,3.351599999999999682e+02
5.360399999999999636e+02,2.630000000000000000e+02
5.524400000000000546e+02,2.671000000000000227e+02
5.590000000000000000e+02,2.818600000000000136e+02
5.360399999999999636e+02,2.990799999999999841e+02
5.532599999999999909e+02,2.990799999999999841e+02
5.590000000000000000e+02,3.163000000000000114e+02
5.524400000000000546e+02,3.326999999999999886e+02
5.360399999999999636e+02,3.351599999999999682e+02
3.000000000000000000e+02,2.250000000000000000e+02
3.000000000000000000e+02,2.421599999999999966e+02
3.000000000000000000e+02,2.593199999999999932e+02
3.000000000000000000e+02,2.764800000000000182e+02
3.000000000000000000e+02,2.936399999999999864e+02
3.171600000000000250e+02,2.250000000000000000e+02
3.327599999999999909e+02,2.289000000000000057e+02
3.390000000000000000e+02,2.429399999999999977e+02
3.171600000000000250e+02,2.593199999999999932e+02
3.335400000000000205e+02,2.593199999999999932e+02
3.390000000000000000e+02,2.756999999999999886e+02
3.327599999999999909e+02,2.913000000000000114e+02
3.171600000000000250e+02,2.936399999999999864e+02
4.000000000000000000e+02,2.250000000000000000e+02
4.000000000000000000e+02,2.421599999999999966e+02
4.000000000000000000e+02,2.593199999999999932e+02
4.000000000000000000e+02,2.764800000000000182e+02
4.000000000000000000e+02,2.936399999999999864e+02
4.171600000000000250e+02,2.250000000000000000e+02
4.327599999999999909e+02,2.289000000000000057e+02
4.390000000000000000e+02,2.429399999999999977e+02
4.171600000000000250e+02,2.593199999999999932e+02
4.335400000000000205e+02,2.593199999999999932e+02
4.390000000000000000e+02,2.756999999999999886e+02
4.327599999999999909e+02,2.913000000000000114e+02
4.171600000000000250e+02,2.936399999999999864e+02
1.250000000000000000e+02,3.400000000000000000e+02
1.250000000000000000e+02,3.580400000000000205e+02
1.250000000000000000e+02,3.760799999999999841e+02
1.250000000000000000e+02,3.941200000000000045e+02
1.250000000000000000e+02,4.121599999999999682e+02
1.430399999999999920e+02,3.400000000000000000e+02
1.594399999999999977e+02,3.441000000000000227e+02
1.660000000000000000e+02,3.588600000000000136e+02
1.430399999999999920e+02,3.760799999999999841e+02
1.602599999999999909e+02,3.760799999999999841e+02
1.660000000000000000e+02,3.933000000000000114e+02
1.594399999999999977e+02,4.096999999999999886e+02
1.430399999999999920e+02,4.121599999999999682e+02
5.750000000000000000e+02,3.400000000000000000e+02
5.750000000000000000e+02,3.580400000000000205e+02
5.750000000000000000e+02,3.760799999999999841e+02
5.750000000000000000e+02,3.941200000000000045e+02
5.750000000000000000e+02,4.121599999999999682e+02
5.930399999999999636e+02,3.400000000000000000e+02
6.094400000000000546e+02,3.441000000000000227e+02
6.160000000000000000e+02,3.588600000000000136e+02
5.930399999999999636e+02,3.760799999999999841e+02
6.102599999999999909e+02,3.760799999999999841e+02
6.160000000000000000e+02,3.933000000000000114e+02
6.094400000000000546e+02,4.096999999999999886e+02
5.930399999999999636e+02,4.121599999999999682e+02
